timestamp,rotor_q,rotor_dq,joint_q,joint_dq,tau
0.0012,1.7823,0.5645,0.2816,0.0892,0.0000
0.0022,1.7833,0.6627,0.2817,0.1047,0.0000
0.0032,1.7838,0.4909,0.2818,0.0775,-0.0039
0.0042,1.7850,0.9327,0.2820,0.1473,-0.0078
0.0052,1.7859,0.9327,0.2821,0.1473,0.0000
0.0062,1.7871,1.0554,0.2823,0.1667,0.0000
0.0072,1.7882,1.0308,0.2825,0.1628,-0.0039
0.0082,1.7898,1.3744,0.2827,0.2171,-0.0039
0.0092,1.7913,1.5708,0.2830,0.2482,-0.0039
0.0102,1.7930,1.8162,0.2833,0.2869,-0.0078
0.0112,1.7950,2.0371,0.2836,0.3218,-0.0078
0.0122,1.7973,2.3071,0.2839,0.3645,-0.0078
0.0132,1.7994,2.2089,0.2843,0.3490,-0.0078
0.0142,1.8019,2.6507,0.2847,0.4188,-0.0078
0.0152,1.8043,2.5035,0.2850,0.3955,-0.0039
0.0162,1.8070,2.4544,0.2855,0.3877,-0.0039
0.0172,1.8095,2.6507,0.2859,0.4188,-0.0039
0.0182,1.8118,2.2089,0.2862,0.3490,-0.0039
0.0192,1.8147,2.6998,0.2867,0.4265,-0.0039
0.0202,1.8176,2.9453,0.2871,0.4653,-0.0078
0.0212,1.8203,2.7734,0.2876,0.4381,0.0000
0.0222,1.8235,3.3134,0.2881,0.5234,-0.0039
0.0232,1.8266,3.0680,0.2886,0.4847,-0.0078
0.0242,1.8300,3.4116,0.2891,0.5390,-0.0039
0.0252,1.8335,3.5098,0.2897,0.5545,-0.0039
0.0262,1.8368,3.2889,0.2902,0.5196,-0.0039
0.0271,1.8402,3.3134,0.2907,0.5234,-0.0039
0.0282,1.8440,3.7061,0.2913,0.5855,0.0000
0.0291,1.8479,3.8534,0.2919,0.6087,-0.0078
0.0302,1.8519,4.0006,0.2926,0.6320,-0.0039
0.0311,1.8559,3.9025,0.2932,0.6165,-0.0078
0.0322,1.8601,4.0743,0.2939,0.6436,-0.0039
0.0332,1.8642,3.9025,0.2945,0.6165,-0.0039
0.0342,1.8684,3.8534,0.2952,0.6087,-0.0117
0.0351,1.8730,4.4915,0.2959,0.7096,-0.0078
0.0362,1.8774,4.3688,0.2966,0.6902,-0.0117
0.0372,1.8818,4.1479,0.2973,0.6553,0.0000
0.0382,1.8866,4.5406,0.2980,0.7173,0.0000
0.0392,1.8910,4.3688,0.2987,0.6902,0.0000
0.0402,1.8958,4.8842,0.2995,0.7716,0.0000
0.0412,1.9004,4.7860,0.3002,0.7561,-0.0078
0.0422,1.9050,4.6142,0.3010,0.7289,0.0000
0.0432,1.9100,5.0806,0.3017,0.8026,0.0000
0.0442,1.9144,4.6388,0.3024,0.7328,0.0000
0.0452,1.9190,4.5651,0.3032,0.7212,0.0000
0.0462,1.9234,4.1970,0.3039,0.6630,-0.0078
0.0472,1.9282,4.4915,0.3046,0.7096,0.0000
0.0482,1.9328,4.4179,0.3053,0.6979,0.0000
0.0492,1.9372,4.4424,0.3060,0.7018,0.0039
0.0502,1.9413,3.9025,0.3067,0.6165,0.0000
0.0512,1.9453,3.7306,0.3073,0.5894,0.0000
0.0522,1.9497,4.1970,0.3080,0.6630,0.0000
0.0532,1.9541,4.1234,0.3087,0.6514,0.0039
0.0542,1.9581,4.2461,0.3093,0.6708,0.0000
0.0552,1.9620,4.0743,0.3099,0.6436,0.0039
0.0561,1.9654,3.1907,0.3105,0.5041,0.0000
0.0572,1.9691,3.6325,0.3111,0.5739,0.0000
0.0582,1.9729,3.8043,0.3117,0.6010,0.0000
0.0592,1.9765,3.7306,0.3122,0.5894,0.0078
0.0602,1.9800,3.4607,0.3128,0.5467,0.0000
0.0612,1.9834,3.3134,0.3133,0.5234,0.0117
0.0622,1.9865,2.9943,0.3138,0.4730,0.0039
0.0632,1.9898,3.2643,0.3143,0.5157,0.0117
0.0642,1.9925,2.7244,0.3148,0.4304,0.0039
0.0652,1.9953,2.7244,0.3152,0.4304,0.0039
0.0662,1.9984,2.8962,0.3157,0.4575,0.0039
0.0671,2.0013,2.9943,0.3162,0.4730,0.0078
0.0682,2.0040,2.8962,0.3166,0.4575,0.0000
0.0691,2.0063,2.2826,0.3169,0.3606,0.0078
0.0702,2.0086,2.1108,0.3173,0.3335,0.0078
0.0712,2.0109,2.1353,0.3177,0.3373,0.0039
0.0722,2.0128,1.8899,0.3180,0.2986,0.0078
0.0732,2.0147,1.6935,0.3183,0.2675,0.0000
0.0742,2.0166,1.6199,0.3186,0.2559,0.0039
0.0752,2.0185,1.7181,0.3189,0.2714,0.0039
0.0762,2.0204,1.7672,0.3192,0.2792,0.0039
0.0772,2.0224,1.7181,0.3195,0.2714,0.0000
0.0782,2.0241,1.4726,0.3198,0.2326,0.0000
0.0792,2.0260,1.6199,0.3201,0.2559,0.0000
0.0802,2.0279,1.7672,0.3204,0.2792,0.0039
0.0812,2.0295,1.4726,0.3206,0.2326,0.0000
0.0821,2.0312,1.8162,0.3209,0.2869,0.0039
0.0832,2.0323,1.1536,0.3211,0.1822,0.0039
0.0842,2.0337,1.2272,0.3213,0.1939,0.0117
0.0852,2.0348,0.9818,0.3215,0.1551,0.0039
0.0862,2.0360,0.9818,0.3216,0.1551,0.0039
0.0872,2.0369,0.8099,0.3218,0.1280,0.0117
0.0882,2.0379,0.8590,0.3219,0.1357,0.0039
0.0892,2.0387,0.5645,0.3221,0.0892,0.0078
0.0901,2.0394,0.2945,0.3222,0.0465,0.0000
0.0912,2.0406,0.8836,0.3224,0.1396,0.0039
0.0922,2.0413,0.7363,0.3225,0.1163,0.0039
0.0931,2.0423,0.7363,0.3226,0.1163,-0.0039
0.0942,2.0433,0.9081,0.3228,0.1435,0.0039
0.0952,2.0444,0.8836,0.3230,0.1396,-0.0039
0.0962,2.0452,0.4909,0.3231,0.0775,0.0000
0.0972,2.0463,1.0554,0.3233,0.1667,0.0000
