timestamp,rotor_q,rotor_dq,joint_q,joint_dq,tau
0.0212,18314908652579263271141376.0000,0.0000,2893350498037798480642048.0000,0.0000,17469309022942265344.0000
0.0423,18314908652579263271141376.0000,0.0000,2893350498037798480642048.0000,0.0000,17469309022942265344.0000
0.0632,18314908652579263271141376.0000,0.0000,2893350498037798480642048.0000,0.0000,17469309022942265344.0000
0.0841,18314908652579263271141376.0000,0.0000,2893350498037798480642048.0000,0.0000,17469309022942265344.0000
0.1049,18314908652579263271141376.0000,0.0000,2893350498037798480642048.0000,0.0000,17469309022942265344.0000
0.1259,18314908652579263271141376.0000,0.0000,2893350498037798480642048.0000,0.0000,17469309022942265344.0000
0.1467,18314908652579263271141376.0000,0.0000,2893350498037798480642048.0000,0.0000,17469309022942265344.0000
0.1676,18314908652579263271141376.0000,0.0000,2893350498037798480642048.0000,0.0000,17469309022942265344.0000
0.1885,18314908652579263271141376.0000,0.0000,2893350498037798480642048.0000,0.0000,17469309022942265344.0000
0.2094,18314908652579263271141376.0000,0.0000,2893350498037798480642048.0000,0.0000,17469309022942265344.0000
0.2303,18314908652579263271141376.0000,0.0000,2893350498037798480642048.0000,0.0000,17469309022942265344.0000
0.2512,18314908652579263271141376.0000,0.0000,2893350498037798480642048.0000,0.0000,17469309022942265344.0000
0.2543,-0.2863,0.7363,-0.0452,0.1163,0.0000
0.2553,-0.1041,-0.1227,-0.0164,-0.0194,0.0000
0.2563,-0.1041,-0.1963,-0.0164,-0.0310,0.0000
0.2583,-0.1041,-0.2209,-0.0164,-0.0349,0.0000
0.2593,-0.1039,-0.2700,-0.0164,-0.0427,0.0000
0.2603,-0.1041,-0.2945,-0.0164,-0.0465,0.0000
0.2613,-0.1039,0.0000,-0.0164,0.0000,0.0000
0.2623,-0.1039,0.0000,-0.0164,0.0000,0.0000
0.2633,-0.1039,-0.0982,-0.0164,-0.0155,0.0000
0.2643,-0.1039,-0.1718,-0.0164,-0.0271,0.0000
0.2653,-0.1039,-0.2454,-0.0164,-0.0388,0.0000
0.2663,-0.1037,0.0982,-0.0164,0.0155,0.0000
0.2673,-0.1039,-0.2945,-0.0164,-0.0465,0.0000
0.2683,-0.1039,-0.3191,-0.0164,-0.0504,0.0000
0.2693,-0.1037,0.0000,-0.0164,0.0000,0.0000
0.2703,-0.1035,0.0000,-0.0164,0.0000,0.0000
0.2713,-0.1035,-0.1718,-0.0164,-0.0271,0.0000
0.2733,-0.1035,-0.2454,-0.0164,-0.0388,0.0000
0.2743,-0.1034,-0.0736,-0.0163,-0.0116,0.0000
