Timestamp,Roll,Pitch,Yaw,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1765181702093,-0.17,-0.04,158.65,1.855,-2.705,979.619,0.25,0.34,0.28
1765181702102,-0.22,-0.01,158.65,0.879,-7.588,977.666,0.13,0.77,0.03
1765181702112,-0.22,-0.04,158.65,2.344,-3.193,979.131,0.00,-0.04,0.09
1765181702121,-0.21,-0.06,158.66,2.344,-4.658,978.643,0.32,-0.10,0.03
1765181702131,-0.19,-0.04,158.64,-0.098,-1.729,976.201,0.00,0.27,-0.41
1765181702141,-0.20,-0.09,158.64,4.785,-3.682,976.201,-0.06,0.02,0.03
1765181702150,-0.20,-0.09,158.63,2.344,-3.682,980.596,0.00,0.21,-0.16
1765181702160,-0.22,-0.08,158.64,1.367,-4.658,976.201,0.00,0.09,0.15
1765181702170,-0.20,-0.12,158.65,4.297,-2.217,977.666,-0.06,-0.04,0.22
1765181702179,-0.19,-0.13,158.64,3.809,-2.217,977.178,-0.18,0.34,-0.16
1765181702189,-0.15,-0.09,158.65,-0.586,-0.264,980.596,0.07,0.09,0.15
1765181702198,-0.13,-0.09,158.64,3.320,-1.240,979.619,0.19,0.40,-0.16
1765181702208,-0.12,-0.09,158.64,2.832,-1.729,978.154,0.00,0.40,-0.10
1765181702218,-0.13,-0.09,158.63,1.855,-2.217,981.084,-0.12,0.02,-0.16
1765181702227,-0.15,-0.11,158.63,3.809,-3.193,979.131,-0.18,0.27,0.03
1765181702237,-0.13,-0.13,158.62,3.809,-1.729,977.666,0.13,0.09,-0.10
1765181702247,-0.19,-0.12,158.64,2.344,-6.611,980.596,-0.12,0.21,0.40
1765181702256,-0.17,-0.07,158.64,0.391,-1.729,977.178,0.07,0.52,-0.16
1765181702266,-0.16,-0.08,158.64,2.832,-2.217,976.201,-0.06,0.27,0.09
1765181702276,-0.17,-0.09,158.64,2.832,-3.682,981.572,0.13,0.15,-0.10
1765181702285,-0.14,-0.10,158.63,4.297,-1.240,977.178,0.13,0.46,-0.10
1765181702295,-0.12,-0.07,158.62,-0.098,-1.729,979.131,0.19,0.15,-0.22
1765181702304,-0.15,-0.10,158.61,4.785,-3.682,980.596,-0.12,0.27,-0.16
1765181702314,-0.17,-0.11,158.61,3.320,-3.682,977.666,-0.06,0.34,0.03
1765181702324,-0.11,-0.13,158.61,4.297,0.225,979.131,0.25,0.15,-0.16
1765181702333,-0.14,-0.13,158.60,1.855,-4.170,979.131,0.07,-0.04,-0.03
1765181702343,-0.16,-0.11,158.60,2.832,-4.170,974.736,-0.06,0.65,-0.03
1765181702353,-0.16,-0.10,158.60,2.344,-2.705,976.689,0.07,0.15,-0.03
1765181702362,-0.17,-0.12,158.60,3.809,-2.705,978.643,-0.12,0.27,-0.10
1765181702372,-0.16,-0.09,158.59,2.832,-2.705,978.643,0.13,0.77,-0.16
1765181702381,-0.17,-0.09,158.59,3.320,-3.193,977.178,-0.12,0.40,-0.03
1765181702391,-0.18,-0.10,158.59,2.832,-3.682,978.154,0.07,0.21,0.03
1765181702401,-0.20,-0.10,158.58,3.809,-4.658,977.178,0.00,0.52,-0.10
1765181702410,-0.22,-0.10,158.58,2.344,-4.658,977.178,-0.06,0.09,-0.16
1765181702420,-0.18,-0.09,158.58,1.367,-1.729,980.596,0.13,0.15,0.09
1765181702429,-0.18,-0.09,158.58,3.320,-3.193,981.572,0.13,0.59,-0.10
1765181702439,-0.19,-0.12,158.56,5.273,-3.682,981.084,0.00,0.34,-0.35
1765181702449,-0.19,-0.18,158.56,7.227,-3.193,977.178,-0.18,0.02,-0.10
1765181702458,-0.22,-0.16,158.56,2.832,-5.146,976.689,-0.06,0.46,0.09
1765181702468,-0.20,-0.13,158.56,2.832,-2.217,978.643,-0.06,0.65,-0.03
1765181702478,-0.18,-0.14,158.55,3.320,-1.729,978.154,0.00,0.09,-0.16
1765181702487,-0.19,-0.18,158.54,4.785,-4.658,981.084,0.19,-0.23,-0.16
1765181702497,-0.16,-0.14,158.54,1.855,-1.240,978.643,0.19,0.46,0.03
1765181702507,-0.16,-0.10,158.53,2.344,-2.705,977.666,-0.12,0.77,-0.22
1765181702516,-0.13,-0.09,158.54,0.879,-0.264,978.154,-0.06,0.15,0.15
1765181702526,-0.20,-0.12,158.54,5.273,-8.076,976.201,0.07,0.27,0.09
1765181702535,-0.20,-0.13,158.55,2.344,-3.193,976.689,0.00,-0.04,0.09
1765181702545,-0.18,-0.12,158.54,2.344,-3.193,979.619,0.25,0.15,-0.16
