timestamp,rotor_q,rotor_dq,joint_q,joint_dq,tau
0.0015,4.5237,0.0000,0.7146,0.0000,0.0000
0.0024,4.5237,0.0000,0.7146,0.0000,-0.0039
0.0035,4.5235,-0.0245,0.7146,-0.0039,0.0000
0.0045,4.5235,-0.3682,0.7146,-0.0582,0.0000
0.0054,4.5237,-0.3436,0.7146,-0.0543,0.0039
0.0064,4.5235,-0.3927,0.7146,-0.0620,0.0000
0.0074,4.5235,-0.3682,0.7146,-0.0582,0.0000
0.0084,4.5237,0.0000,0.7146,0.0000,-0.0039
0.0094,4.5235,-0.3436,0.7146,-0.0543,-0.0039
0.0105,4.5235,0.0000,0.7146,0.0000,0.0000
0.0114,4.5237,-0.0491,0.7146,-0.0078,0.0039
0.0124,4.5237,-0.0982,0.7146,-0.0155,0.0039
0.0134,4.5237,0.0000,0.7146,0.0000,0.0000
0.0144,4.5237,0.0000,0.7146,0.0000,0.0039
0.0154,4.5237,0.0000,0.7146,0.0000,0.0000
0.0164,4.5235,-0.3682,0.7146,-0.0582,-0.0039
0.0174,4.5237,0.0000,0.7146,0.0000,0.0000
0.0184,4.5237,0.0000,0.7146,0.0000,0.0039
0.0196,4.5237,-0.0245,0.7146,-0.0039,0.0039
0.0205,4.5237,0.0000,0.7146,0.0000,0.0000
0.0214,4.5237,0.0000,0.7146,0.0000,0.0039
0.0224,4.5237,0.0000,0.7146,0.0000,0.0039
0.0235,4.5235,-0.3927,0.7146,-0.0620,0.0000
0.0244,4.5235,-0.3927,0.7146,-0.0620,0.0000
0.0254,4.5235,-0.3436,0.7146,-0.0543,0.0000
0.0264,4.5235,-0.3682,0.7146,-0.0582,0.0000
0.0274,4.5235,-0.3191,0.7146,-0.0504,0.0000
0.0284,4.5235,-0.3436,0.7146,-0.0543,0.0000
0.0294,4.5237,0.0491,0.7146,0.0078,0.0039
0.0304,4.5237,-0.0245,0.7146,-0.0039,0.0000
0.0314,4.5237,0.0000,0.7146,0.0000,0.0039
0.0324,4.5237,0.0000,0.7146,0.0000,0.0039
0.0334,4.5237,0.0000,0.7146,0.0000,-0.0039
0.0344,4.5235,-0.3436,0.7146,-0.0543,0.0039
0.0354,4.5235,-0.2700,0.7146,-0.0427,0.0000
0.0364,4.5237,0.1227,0.7146,0.0194,0.0000
0.0374,4.5233,-0.6136,0.7146,-0.0969,0.0000
0.0384,4.5237,0.0491,0.7146,0.0078,0.0000
0.0394,4.5237,0.0736,0.7146,0.0116,0.0000
0.0404,4.5237,0.0000,0.7146,0.0000,0.0039
0.0414,4.5235,-0.2454,0.7146,-0.0388,0.0000
0.0424,4.5237,-0.2454,0.7146,-0.0388,0.0000
0.0434,4.5235,0.0736,0.7146,0.0116,0.0000
0.0444,4.5235,-0.2945,0.7146,-0.0465,0.0000
0.0454,4.5237,0.0245,0.7146,0.0039,0.0000
0.0464,4.5237,0.0000,0.7146,0.0000,0.0000
0.0474,4.5237,0.0000,0.7146,0.0000,0.0000
0.0485,4.5235,-0.3927,0.7146,-0.0620,0.0000
0.0505,4.5235,-0.3927,0.7146,-0.0620,0.0000
0.0515,4.5237,0.0000,0.7146,0.0000,0.0000
0.0525,4.5237,0.0491,0.7146,0.0078,0.0000
0.0534,4.5239,0.3436,0.7147,0.0543,0.0000
0.0544,4.5237,0.0000,0.7146,0.0000,-0.0039
0.0554,4.5237,0.0245,0.7146,0.0039,-0.0039
0.0564,4.5237,0.0736,0.7146,0.0116,0.0000
0.0574,4.5235,-0.2945,0.7146,-0.0465,0.0000
0.0584,4.5237,0.0000,0.7146,0.0000,0.0000
0.0594,4.5237,0.0000,0.7146,0.0000,0.0039
0.0604,4.5235,-0.2945,0.7146,-0.0465,0.0000
0.0614,4.5235,-0.3682,0.7146,-0.0582,0.0039
0.0624,4.5237,0.0000,0.7146,0.0000,0.0039
0.0635,4.5235,-0.3682,0.7146,-0.0582,0.0000
0.0644,4.5235,-0.3191,0.7146,-0.0504,0.0000
0.0654,4.5237,0.0491,0.7146,0.0078,0.0000
0.0664,4.5237,0.1227,0.7146,0.0194,0.0000
0.0674,4.5237,0.0245,0.7146,0.0039,0.0000
0.0684,4.5237,0.0000,0.7146,0.0000,-0.0039
0.0694,4.5235,-0.2700,0.7146,-0.0427,0.0000
0.0704,4.5235,0.1227,0.7146,0.0194,0.0039
0.0714,4.5237,0.1227,0.7146,0.0194,0.0039
0.0724,4.5235,-0.2945,0.7146,-0.0465,0.0000
0.0734,4.5237,0.0000,0.7146,0.0000,-0.0039
0.0744,4.5237,0.0245,0.7146,0.0039,-0.0039
0.0754,4.5237,0.0736,0.7146,0.0116,-0.0039
0.0764,4.5235,-0.2945,0.7146,-0.0465,0.0000
0.0774,4.5237,0.0000,0.7146,0.0000,0.0000
0.0784,4.5237,0.0000,0.7146,0.0000,0.0000
0.0794,4.5235,-0.3436,0.7146,-0.0543,0.0000
0.0804,4.5235,-0.2454,0.7146,-0.0388,-0.0039
0.0814,4.5235,-0.2945,0.7146,-0.0465,0.0000
0.0824,4.5235,-0.2454,0.7146,-0.0388,0.0039
0.0834,4.5235,-0.2454,0.7146,-0.0388,0.0000
0.0844,4.5237,0.0982,0.7146,0.0155,0.0039
0.0854,4.5237,0.1227,0.7146,0.0194,0.0000
0.0864,4.5233,-0.5154,0.7146,-0.0814,0.0000
0.0874,4.5235,-0.2209,0.7146,-0.0349,0.0000
0.0884,4.5235,-0.2454,0.7146,-0.0388,0.0039
0.0894,4.5237,0.0982,0.7146,0.0155,0.0000
0.0904,4.5237,0.1227,0.7146,0.0194,0.0000
0.0914,4.5235,-0.0982,0.7146,-0.0155,0.0000
0.0924,4.5237,0.2700,0.7146,0.0427,-0.0039
0.0934,4.5237,0.1227,0.7146,0.0194,0.0039
0.0944,4.5235,-0.1473,0.7146,-0.0233,0.0000
0.0954,4.5237,0.0982,0.7146,0.0155,0.0000
0.0964,4.5235,-0.2209,0.7146,-0.0349,0.0039
0.0974,4.5235,-0.2454,0.7146,-0.0388,0.0000
0.0984,4.5237,0.2700,0.7146,0.0427,0.0000
0.0994,4.5235,-0.0982,0.7146,-0.0155,0.0039
0.1004,4.5235,-0.0245,0.7146,-0.0039,0.0000
0.1014,4.5235,-0.0982,0.7146,-0.0155,-0.0039
0.1024,4.5233,-0.4418,0.7146,-0.0698,0.0000
0.1034,4.5235,-0.1473,0.7146,-0.0233,0.0000
0.1044,4.5233,-0.5154,0.7146,-0.0814,0.0000
0.1054,4.5235,-0.0245,0.7146,-0.0039,0.0039
0.1064,4.5235,0.0000,0.7146,0.0000,0.0000
